,ID_ALUNO,ID_MATRICULA,NU_IDADE_REFERENCIA,TP_SEXO,TP_COR_RACA,TP_ZONA_RESIDENCIAL,ID_TURMA,CO_ENTIDADE
45,9951920CDF93FE4C7FE7FF7E4EE2588E,295155310,6,2,3,1,12857787,31202908
47,002FE9257B3C69913AB8B179F3DAAED5,295001126,15,1,1,1,12851356,31202975
48,720167C7C21C81B5FB3B69CB8CD318D5,223492811,5,2,1,1,12131782,31316245
49,208B2A7B22D472FE46EDF00C1E3925D7,221350037,8,2,0,1,12135314,31316245
50,AA5EAA336349B0EAC8FC749DF6E0CBD4,285273454,11,2,0,1,12095086,31203092
51,160B67A0AE17029F3BF173BB0B6E6068,287982577,13,1,3,1,12542981,31310573
52,80999659D6C795D2A05EEDAA32CE8400,248173564,16,1,1,1,3383986,31205265
53,C141B6C44EAC7ABD0985B39325632F8D,295002983,20,1,3,1,12850441,31203009
54,10CB0A49218876CB00EC417D37D2F9D5,295006902,8,1,3,1,12851448,31203106
55,FE2AB6E2FD254B4FA81DCB80CFF20425,295127659,13,1,1,1,12858030,31217743
56,A15224EB3690FA220A0A483187E9E80F,295005300,12,2,0,1,12851407,31203009
57,AADCCCB4CCA5A1A0253F49A625E97175,295007016,13,2,0,1,12851464,31203106
58,3327C130C18375A72DD763CC3960FDF9,294993019,15,1,1,1,12851157,31202894
59,51AF99942BFF1FD7FB4123295B051FFC,294993172,11,2,1,1,12851170,31202894
61,34D5B4FB716E884D1B17D81694C96E03,295006334,14,1,1,1,12851466,31203106
62,ADB57CDE89F083092D845435E919982D,295006458,11,2,1,1,12851454,31203106
63,72F4A1B70DCB9E350A1AFCA768F5EBA0,295006461,11,2,3,1,12851455,31203106
64,AC4CF1CC0E50CDD7E960CD3D14BC036A,322189530,13,1,1,1,87487,31205265
65,8C37E37E875F6EC81E7CA7FC64DDD214,321601995,4,2,0,1,9210274,31354848
66,A8098743E9F6D052F6A74F9527432626,222304494,7,2,1,1,143977,31203122
67,C6D13F166834A749BAEE3B2085AC0F8B,281599519,13,2,3,1,9069200,31244279
68,11F21714EBD6C8E6CBAA41F45BBD5ABF,284865747,13,2,1,1,12319725,31202983
69,FA2CEA8F6091586DDDEF5FDA89619D4C,282045628,11,1,3,1,12009984,31202878
70,6CB7BDD35FA771123D4D7DB4F4777160,295468961,10,2,1,1,12242300,31261009
71,55163D23A2171ED2391CF52BDBA9394E,323358422,1,1,0,1,13064338,31352055
72,B1F3E059FC4B1EE355FFB588986ACBC1,281777981,14,1,1,1,9068548,31244279
73,11F285B90555B7CF33BC25D760C721C7,114823599,6,2,0,1,12106599,31328294
74,24F39FC471183F9A9A8E1442990779C6,287005630,2,1,1,1,12500805,31360333
75,DF0A38A02B7456D3AF4A6F2334B4ABFB,287186548,15,2,1,1,12121158,31328294
76,9620ADC78A7E0DF887400DF38ADD7FE4,234198634,7,1,0,1,579514,31203076
77,D2F45ECDF9002F261B7431E2864833A7,303458904,21,2,1,1,13212025,31202967
78,7D7DDEBD60C9C1C2EA6EB2CCAF8D0B97,303458965,21,2,1,1,13212025,31202967
79,55AAE94BF3C0DEF58AA064F6A3D647B5,294993574,17,1,1,2,12851366,31202975
80,8A550F1E7D6FFDB8873FD15C727F1D1C,300727459,1,2,0,1,9403339,31288110
81,C3A68C9AC2EE71B7746EC9F8494A4A06,299955740,1,2,3,1,13022748,31288144
82,739A4D367ACE9EE02361AEDCDB03D7BC,303458531,17,1,1,1,13212018,31202967
84,31F221FDE8B0EA22F237729435ADBFC1,326918486,1,2,1,1,9254506,31242471
85,697F4E85E299C4CDF472FACBD6F20FE9,326682064,13,2,0,1,14245049,31245674
86,3D8FC059D9171BD726A25D02DC81F7E1,25780889,7,2,1,1,11961311,31326054
87,319F4A4C885D2F7F81C2510F4B2C1F40,280300348,4,1,1,1,12131572,31316245
89,5BAF6572269A9D840602F5510A3D5A8D,234447198,10,1,1,1,8824539,31205265
91,1B3EF4F125483CB506E88491ED449447,291564151,10,1,1,1,12012443,31202878
92,DAE461FB63AD48F13C3BADCC497BFFC0,294359834,7,2,1,1,12009562,31202878
93,2C774E031E8958FA406A202B8C3537AA,295004860,8,1,3,1,12851446,31203106
94,0F21691357AB8AA216D21F3D43784962,294993599,16,1,2,1,12851366,31202975
95,59E8E68DE44E648067E83F141C7D27FF,295004001,22,2,2,1,12851413,31203009
96,DAD718EF7D5060A277EB872A5EB200A7,295004033,18,2,3,1,12850457,31203009
97,EB07844D80D7CCC80B71BC58BB870E29,295003420,24,2,1,1,12850461,31203009
98,C16123CBAA02AAEA396E79D3CCF1306F,295004770,12,2,2,1,12851457,31203106
99,69DB3480AB4FD4A3B890245E7574796B,187259543,6,2,3,1,12404890,31217751
100,A866479A5F2583E5D467DE7957C70824,288041033,12,1,0,1,12542783,31310573
101,06DF39E622D655D52B11F8DD9A1D4A1B,226071285,7,2,1,1,12240822,31261009
102,F41A4411944BF8B5E2CCBF16C38B8BDC,295155250,6,1,0,1,12857788,31202908
103,8E5B66B5D900210696FA9D681A9D7C0D,295007098,15,2,3,1,12851485,31203106
104,3F35464D2864732B149961799D595A6B,295127962,11,1,3,1,12858024,31217743
105,1C1601A46F743CDF336C16DEAE881389,222109729,8,1,0,2,12088407,31203092
106,3E4FD99367E208AA8A34606882026B8B,221947580,3,1,1,1,12060851,31328294
107,8970BF7047B26CBE621EA55AE3F0511B,294994444,16,2,0,1,12851172,31202894
108,949AA65D5AF357A79EDB75C56CF49C28,295006557,11,1,3,1,12851454,31203106
109,C90D90C356107ABBC987B1E13815B3CC,295127342,17,2,1,1,12858045,31217743
110,700F85605EEBFA3EE7F34395A06FA47E,294994493,6,1,3,1,12851164,31202894
112,49826605C5B197C5ADD172FA6E300316,294994513,15,1,3,1,12851158,31202894
113,51F707808F2A26092845A7124922BD17,295006596,15,1,1,1,12851467,31203106
114,CBDD4327CC0251D9C80E7D37E04B059D,295006665,15,1,1,1,12851468,31203106
115,F2304391032C0EA2F66CCA55CA95B0F2,248136302,17,1,0,1,3384015,31205265
116,7FB8A7A8F35E89FF4DACFE6C0878DB68,299282818,2,2,1,1,87634,31205265
117,FD165DF33CA57F822C84EC908E360F31,282207284,13,1,0,2,11899243,31251933
118,BBA89767347204E018BA14E0921F018F,282220619,12,2,1,1,11899243,31251933
119,7006B3F1F4AA083BC5633278EC5F69B0,223671842,13,1,1,1,12116629,31328294
120,87FC62738A45E984BD266B58BD67E50E,286774573,6,2,3,1,12405022,31217751
121,E6219CA54288919BA98CF82DB333DD22,232212789,13,1,3,1,12097513,31203092
122,BB8A0CF8DA2EB6CFF74AD31FD6D69C5B,291631565,7,2,3,1,579639,31203076
123,5131E19D7A815ECE856F1DD1C76ABC66,291635650,7,1,1,1,12241961,31261009
124,DA6B43F875C9C836115EEB7D5C6D5D1E,307383641,1,2,0,1,13014701,31360325
125,57057D664E1A9EAB676FEEF843BB48AC,299099122,15,2,2,1,12914703,31202983
126,44FB73951115C8F75867C0673E1B4068,166444611,6,1,0,1,12055421,31203092
127,249646B662F42FB381EF4F0CAC2270F7,286104454,12,2,1,1,12116493,31328294
128,06E849C01A4823D76CFAAE99FFFE10C9,133766972,9,2,1,1,12456066,31203076
129,BA9A9C73EB0347920E8DF6BA9E4A486E,133767506,8,1,1,1,580712,31203076
130,ABC56DA589DB901FF820E55EB3D7DA46,233568648,10,2,0,1,87494,31205265
131,3E7744BC203E12D268630D3687F8D0FB,248347003,17,1,1,1,3383986,31205265
132,B3606DE7B02C24D8F7FCC1E60B0B2F69,295004086,16,2,3,1,12851408,31203009
133,AC9DF5CE0EB6F55DCF3AB732D2812872,295004452,17,1,1,1,12850446,31203009
134,4C94BD658DD8EFF0C246274009B0EDD9,295004468,16,2,3,1,12851410,31203009
135,AB7A985EFC3451DEA2A6D2D5940FA370,303458690,18,2,1,1,13212560,31202967
136,37054901351FA871AA50483E83AF3FC7,221358516,8,1,0,1,12135314,31316245
137,D95D6D36E08BBB929FD875D4D3E28029,221358627,9,2,0,1,12135175,31316245
138,356E8D44B3A5243377A11D9D32E5A64D,19206025,14,2,3,1,12339002,31202983
139,56A92AD052E773E275463AB613F97C68,222747266,12,2,3,1,12147739,31316245
140,22893CCCAE33A2D265603D4C6D8A5BC1,254607301,3,2,2,1,12428099,31295621
141,E54465FBCF60537EEDEFD4B42BEDC198,312613469,14,2,1,1,8823689,31292451
142,924A8121BBDDA8AE386A5D10B186E44E,321570865,4,2,1,1,9210274,31354848
143,66C0CF9E71C4CFC6A863B75C80D4F617,323382574,5,1,1,1,9210286,31354848
144,94D5221505DFCC59CF37C7FEBAEAF831,282044521,11,1,1,1,12009984,31202878
145,D16B45F08D3ADD8EF3647DCB63136F97,230369873,13,2,0,1,12098074,31203092
146,2CF4B6B2D885C5577125E9B0A7CE0D31,288137668,4,1,3,1,12537968,31261009
147,FF7C0D6828C8570021854CD122B87557,236239318,16,2,0,1,1741043,31205231
148,57C96FD91F5D124F09E303C91C942035,66136517,16,1,0,1,6242025,31205231
149,D3680D3C44E69C0D8A703DEA389D03A9,214451726,3,1,3,1,11890788,31347949
150,9568AA5C918C510B1B517CC08B48D5CD,230836912,5,2,3,1,12457321,31203076
151,0CB82AA93BC16BF0D36522A60B0E2F7E,295006732,11,2,1,1,12851453,31203106
153,BE8CA375D52D494C5E5F8AB6AF916759,106938125,7,2,1,1,893269,31205249
154,255C274F3214F6A33BD859FD96974734,278373844,9,2,2,1,11990394,31266965
155,00555DB414AFA652447FE477944C4ECA,278375218,9,1,3,1,11990394,31266965
156,B5A73B148F1ADA24238F39A0AF97BB03,1908025,15,2,3,1,143994,31203122
157,74426F20E0693C5F1783B91FD4201996,23866816,11,1,0,1,12116153,31328294
158,BBF80870968A8EB73987056B4A1DEB75,303458817,16,2,0,1,13212018,31202967
159,DA1478DBDE72FDF0C7418970A65ED37F,281128815,4,1,3,1,11956059,31326054
160,EB8E7AEE0C83DE96970A1A78B10027C1,280997510,17,2,1,1,12151635,31346314
161,1CAE69E233C0B799906C6426B0980D2A,284776057,9,1,1,1,12115221,31328294
162,78CDA807104DE42938862AF5BAE38216,2065532,17,2,2,1,143999,31203122
163,BAE2F57AAC554E84F4CFD7F245010865,186868989,9,1,3,1,12220053,31202983
164,4C89997816E7F9C5570F705C33DB0827,104112488,10,2,3,1,12220053,31202983
165,79F00301433C994B96B8C8C353369B7B,303458967,12,1,3,1,13212557,31202967
166,42E6623DB3CE3246379AE7FE74D044CB,225378697,3,1,1,1,11956475,31326054
167,750313C9B60FAEA526F9F20B377F51E7,228621056,12,2,3,1,12012587,31202878
168,3D1234EBEE5D34751DB396AB936AD904,168052002,10,2,3,1,143983,31203122
170,C9862DBEE311A48A0839AFA712F4FB83,281087488,13,1,0,1,9066352,31244279
171,B17EDF424A1D3129587F5EB8F72FF5FA,165890576,6,2,0,1,12046338,31203092
172,2C0DD6E5D33AD86742307B1ADA6FC6CC,279520603,6,1,0,1,9055864,31244279
173,E58B0D05ABA4799FA56D8CAE2034AA10,103221241,7,2,2,1,12127965,31202983
174,BB85B4D930D2C05A6CEFED52C9AE4781,280440630,15,2,1,1,12151412,31346314
175,F961DA11A20B49F98BCC63DAE715CAD0,23120735,9,1,0,1,12115397,31328294
176,C90D9082DCE17DF68304FD3501259AF8,277667827,4,2,1,1,9054789,31244279
177,794256B1CC39932B4D3D5F6576C9139D,278254366,11,2,1,1,8844625,31203017
178,B49C1317D8B6C9604935A3538362EF2C,225194587,5,2,1,1,12079194,31202983
179,ED5E13759EA993031116263068C179BA,280880100,10,2,3,1,9065523,31244279
180,19EBC5AC4BE27C26D30121612381431D,220567875,4,2,1,1,12062092,31202983
181,C114740ABC6C107228CDCB9E2F1CB194,285716307,2,2,2,1,11891322,31347949
182,8194C8C2E43435B9F6DF8936397744F1,1918000,15,2,1,1,143993,31203122
183,7B7058B295F79A39ED1D73BB4548A06F,281343268,7,2,1,1,12134360,31316245
184,271A99FBE721936315F21C77546462C4,281720326,13,2,1,1,9066600,31244279
185,903DE0EDE30200EDA3807AECD94BCCD7,164202657,10,1,1,1,8844328,31203017
186,EEEEC037108ACCDD24AC828E8654AE5F,223805545,4,1,1,1,11957296,31326054
187,4FAE89A6DA93828355B335FEA7131127,303459069,12,2,2,1,13212015,31202967
189,7E685E10DC938F260FB6F6ADE67CE152,280305858,13,1,3,1,12151169,31346314
190,300C935DED3D311E7B923C46FCBBCFCF,221418946,9,1,3,1,8842545,31203017
193,2AF192A8DB782829A2F417D00239F41F,278280860,4,1,1,1,12026033,31202983
194,07F6964C625062514AA072743AC11E46,222684512,11,1,0,1,12147342,31316245
195,9EA5FDEF20FCF9851F430C3AB6BD854B,1516910,13,1,3,1,143989,31203122
196,A8C743F63CA236A10F2FC079367A011D,10696627,7,2,3,1,11961311,31326054
199,3457FE38E5CDA2473A5B799633D6FE77,114992591,10,1,1,1,12115698,31328294
200,EFFA70CC70641F4233484202035D3736,222898321,9,1,3,1,12094604,31203092
201,C098DF08FDDE8C92728726DC79BA0DD5,2088516,17,2,1,1,143998,31203122
203,E9668E68719B4B01A628582D9C69202E,303458485,19,2,3,1,13212563,31202967
204,ACFC553B6A351AA1AE4909B777B58DAC,221885075,7,1,2,1,12135013,31316245
205,3A54C0FEA8511309AF245598F9B96B7F,223584816,6,2,1,1,12133420,31316245
206,D87569B0A7A602E3AB1EFE8D422E7FBC,32281064,14,2,3,1,12147806,31316245
207,38D230F669C5FC30F142D5117338B328,221824957,5,1,1,1,12131881,31316245
209,87C885F3D861E1382898CFD3F4AA7A9E,221360306,8,2,3,1,12135175,31316245
210,121A4500EA727D2860FA9E5306519A40,281592462,8,2,1,1,12135314,31316245
211,B528AB4E23D8BF84B3DE4D1CCA435697,164210089,11,2,1,1,8844625,31203017
212,D6718C0255E49AA73FDDCA9324902103,20640893,10,1,3,1,893286,31205249
214,9CBEAB709DB4812C9C49A733D92EB775,279755604,4,2,2,1,12113642,31261009
216,FF77011E8C89363FA18194E00D16AA73,1518734,14,2,1,1,143990,31203122
217,5415B9F75E547B743EB19958C6634CFF,223771866,4,2,1,1,11956475,31326054
218,1D7CAE869742ED925FD5D9A11E365060,164356573,5,2,1,1,11956946,31326054
219,49E097D7D98B1D511CDD9ADC9396431C,280211692,11,1,1,1,12151038,31346314
220,76085D58F32B0E63935E60F794931A53,280201539,9,1,3,1,9057872,31244279
221,97EEE59390E68D0B38EA9DD7984E1E21,234211670,15,2,1,1,12012373,31202878
222,BDFB24D31959302BF815A1973C2290C1,31055191,12,2,0,1,12147583,31316245
223,61AC230D259476ACDAF88CBF64F6E9B2,190536233,13,2,1,1,12319725,31202983
224,9F3885EFAC43F22ECBD308EC4D1809D8,278010540,4,1,1,1,11957358,31210609
225,F40C4DD8FF501BB08B10E7468093A59E,221348643,7,2,1,1,12135140,31316245
226,27D5308279AE8E4954F1DB53F1C36359,225649696,8,1,1,1,12010450,31202878
227,7D955761D0434B6E618E1C1FC05CC243,225403536,5,2,3,1,12077990,31202983
228,E5E8F07152A9DABFD43E6C295EAAA499,278649489,3,2,1,1,1738691,31205231
230,4CBD777C279CB8432BA0EC62A2286123,278358798,4,2,1,1,12057442,31202983
231,39F913FE6E6FBDCAFF4957E9BE210888,222118295,7,2,1,1,143977,31203122
232,E0EE120D66967FE4105A6D60B97C7F54,296581760,9,2,3,1,11961606,31326054
233,7747D09BA083A0F99FCFB9DE3F36EC90,221942546,9,2,0,2,12145129,31316245
234,69BCC06E083A39698E6468B6F5D54879,284784399,2,2,3,1,12139377,31288128
235,D0A8E0D19C4FC6544C2EAD987CBF009C,285109034,4,1,2,1,11989975,31266965
236,F7C6F81CE156054BED52A2E63D828B57,232312494,13,2,3,1,12011314,31202878
237,FFAC00B6CA7749FC92C70B674317B6BE,103384040,9,2,3,1,11960640,31326054
238,EF846206B19FF7D1CB14B6DB2AA81C37,25732135,8,1,1,1,11961419,31326054
239,99AE2C7CE7D4CB0C182D954128617AB2,224455922,4,2,1,1,11956059,31326054
240,E108212CA0DB4E5E2C9DECF3C0B994AF,1534100,12,1,1,1,143987,31203122
242,3868BFC570C62CD410E81E94479F032B,1438337,11,1,3,1,143986,31203122
243,488A23F7785B03F83C4ED0064BBEFDEE,164539201,12,1,3,1,8847101,31203017
244,006FF3A87E8F0914C2DBE3AA227E441E,164377561,5,1,1,1,11957839,31326054
245,FA091E65553A44B55D9BBEA58BD9E284,103183924,7,2,2,1,12127965,31202983
246,666F41B46E3E689ADDA8FFCFACE72DF0,279079700,13,2,1,1,11958036,31210609
247,421B9A78BDAB8CDCC9DA4B60BADA6F7C,279210474,5,2,0,1,11881180,31251933
248,18CC6723D100B6C616EE90ACA97D4845,279261643,6,2,1,1,12131137,31261785
250,8BD54704EB15B2CEC80CEF7521E66908,227168452,8,1,1,1,12129114,31202983
251,62F8FE2C5C93E457B577EEDA77E29FF3,295155225,16,1,0,2,12857796,31202908
252,A7A6F7EF59C1CFCE95E8187F64FB18ED,295127114,6,2,1,1,12858018,31217743
253,C61C9B58CFEC5C6096329D16C46A7B12,295127585,12,1,1,1,12858027,31217743
254,5ED1C8104A5487475C8FDC0C489932B4,295127618,17,2,3,1,12858043,31217743
255,8AF4BB6BE654BEE924BFB48F2E86BDE7,295007012,12,2,1,1,12851457,31203106
256,BE17705A3B87A9576E50B479FAB4CB9C,295128035,8,2,3,1,12858020,31217743
258,8FF46DD98C34128EDBBD3C9DB300E7D4,295127079,12,2,1,1,12858030,31217743
259,13EF14576CDDDB3DEC45E3E942D663B2,295006138,15,1,3,1,12851464,31203106
260,4A1ABF4644C7B05A3B4EE26FB192CADF,294994371,15,1,2,1,12851155,31202894
261,A3F08B5CC8A709722C48E18EDB85BF5D,295127335,17,1,1,1,12858044,31217743
262,397ABC7DA7B1B00145501B46CA88703F,295127368,15,1,1,1,12858034,31217743
263,F314636F4A6489E9DF55BF3AA61BB1CB,295006571,12,1,3,1,12851455,31203106
264,0776D447D54417B0C03A837266A1E558,295127394,16,1,1,1,12858040,31217743
265,A921BCBEADE4DCD760666DDFC3D73AC4,295309773,9,2,3,1,12242267,31261009
266,42693D5F68E932D21848185F0FA00180,279559586,4,2,0,1,12131524,31316245
267,1578F5C38049BF3162670D5BA2B69F67,280447232,16,2,1,1,12151412,31346314
268,67169C9B523FA99DF3AB6345CD6AD499,104070846,9,2,3,1,12187295,31202983
269,DB4B9868E1EA9E7B440C29C8619CD36E,280199310,3,2,2,1,12113642,31261009
270,2271D8198D19DAA56A3E89701A2C4EA8,310029043,2,2,0,1,13014170,31360325
271,6A5F867A96FF683096A5FCA384A791D8,280301761,9,1,1,1,9060621,31244279
272,78C00732941E58225E8526CDD6B66264,280334016,9,2,3,1,9062437,31244279
273,8E7ECF86E56494A07A19A234D9CE6406,280894154,10,1,1,1,9065523,31244279
274,C0010284E21C86364D91F88B97435CBB,115037552,14,1,3,1,6685470,31354848
275,017892846F508C95499768E0F5ED5909,280689936,7,1,2,1,11881367,31251933
276,12FB49E187F12C0DC2B2709AABB436E9,312300847,12,2,1,1,6689056,31354848
277,5B7F93AA6739D282B5501F98E9044BB1,252188511,2,2,0,1,13014154,31360325
278,C11EDEC538AF43ADEB5BCF10F44A0BC1,186875847,9,1,1,1,12186664,31202983
279,8009562EF5B831882EAFBC16568292F4,280962845,10,2,3,1,9062934,31244279
280,31F4F322FCF911882F4DB5B206CFC9DC,281573011,12,2,3,1,9064047,31244279
281,B74B85E152B86EB16F7CF98D2DC01833,281075203,11,1,3,1,9066352,31244279
282,E6B36B3075B999C5C66B08257D783EA8,166202551,6,2,3,1,12046338,31203092
283,622D13A52F8CE4563905BBD4D6D8AD0F,221347149,7,1,2,1,12134360,31316245
284,42BF5ADED578B49B04EFFB12943412C7,296800904,20,2,3,1,12923595,31202983
285,096D89127769611F9988027A65FCAF6C,296926384,19,1,0,1,12923595,31202983
286,C5548DAB376EF9F4AA94AFE3AAF2B1BD,230374699,13,1,1,1,12098074,31203092
287,44FB258667F337FEE552699FAFB4F6F2,310155651,11,2,1,1,13193392,31292451
288,A291A0B5EECEEE3AC1124E9CDD4373DF,310521861,9,1,1,1,9211112,31354848
289,8F406328C23CED44BBFC2C45212D2AD2,326660023,11,2,2,1,14245776,31245674
290,929136D5FA2CFE1D0777B195B08FE303,299809153,2,2,1,1,6197845,31205265
291,483006EF8720D98C6ED65CC63C7F1022,281745479,9,2,1,1,12145129,31316245
292,80B062BBB5832BF397E57A807207236B,281717198,15,2,2,1,9066600,31244279
293,CD665E50B68A99C919D523B846C7CC9D,281635354,36,1,0,1,12165588,31326160
294,93ED08CB2369A50A6A7FD4DF5C5412BB,23856281,10,2,1,1,12115505,31328294
295,3457ADF47D34330AA56F68FC769AFDDA,288367583,13,2,1,1,12012283,31202878
296,BF6CAAFDACBE4DFB899A28F2DE1D5325,290098906,6,1,1,1,12241802,31261009
297,411B3557AA1EA237776BA840276D4D68,168322542,3,1,3,1,13020240,31288144
298,2E78C18EDCE6E0E1036C91EDEF26EAE8,321370916,3,2,1,1,13997573,31354848
300,2EB30438ABE2BB222BBC1FE4707C41EC,326130848,4,2,1,1,14218519,31203092
301,49488A9DB8CEB349EBD1F96F212D7C6E,300200237,16,1,0,1,13062935,31202983
302,4CCBE67BD113D8603934710B5A658FC4,256823419,2,2,0,1,13068756,31352055
303,41936130ED1A577A671257BE89C7B4E4,167284443,4,2,1,1,12061174,31328294
304,57A9F123A8DAD7815CA2F1CF0659F0F9,22778217,8,1,1,1,12107016,31328294
305,F626D7A00DAB7BD7D4C9EFC2A3FAF456,282218442,13,1,1,2,11899243,31251933
306,6BB13805366892E0CDF94B33FC6AFDE7,24204556,15,1,1,1,12121158,31328294
307,64282E0E2DC93D094108FF7E368F5270,23904314,11,2,1,1,12116235,31328294
308,90F3E605515C11B637322B8BBD4D9423,165882695,6,2,3,1,12055421,31203092
309,8486ACD3E5F9C375692FEB632102F63E,290899798,4,1,1,1,12403833,31217751
310,C0A47BACF09F5D712D3A06A725458225,326394554,3,1,3,1,14228125,31203092
312,C217DF613D429A34D83E74139216B83B,32189095,14,1,0,1,12147739,31316245
313,21AC930F087E9A940C253B9AEC64B645,283505475,6,1,1,1,11990231,31266965
314,FD2F236AA5D89D80431117BD3A81E6B0,283498982,6,1,3,1,11990231,31266965
315,B8158C47FC3639600DF2D795426B8D3A,290701022,21,2,3,1,12333983,31245674
316,4EB9BB772F64214D6DD99565295E69C9,133891452,7,2,0,1,579045,31203076
317,37DA7203413BE7ABCB9BFD4638222C90,291087078,5,2,1,1,12668688,31261009
318,E2E7D855871C9ABD8934BBADAD7BA72E,129602968,7,2,3,1,579639,31203076
319,2482018BAA46875BB1F528851860ACD2,291641206,4,1,1,1,12539549,31310573
320,BFC6D2E146C4D1A1380AFC56D1DBBB83,291643646,7,1,1,1,12241961,31261009
321,25B959039E89B4B1275AA7716ED04A97,301058561,3,1,3,1,13020240,31288144
323,E296870653F9BEF22B85066642E4DF5E,284744064,8,1,0,1,12088407,31203092
325,5A835D378CF516CBC8D6ECCDC9464EB2,283531042,6,1,3,2,11990231,31266965
326,012824BF3BC8908A6BBA222EF50A3267,49236608,15,1,2,1,12147777,31316245
327,0F8F9823D9BF85A8460E46BD687CAFCA,283731488,6,2,0,1,12106425,31328294
328,9C245AF5EA87DD834B07108AA2DDDE19,284690187,7,1,1,1,12086651,31203092
329,775D07B3F2C0DD440D59F4A4BB4C1795,291240548,8,1,0,1,12012323,31202878
330,15AF645D6968DD546E1540816B31B20D,230530762,7,1,1,1,5957476,31205265
331,923F72AB2B140F2F24DD578884A427D6,291100880,5,1,1,1,12668688,31261009
332,C39A1B284B6074995CFCB2B92CA8D38A,223482078,5,1,1,1,12821457,31205265
333,B71FC37F5ED59BD51C83039AA4E17D2F,294219975,8,1,0,1,12243129,31261009
334,9B68928BAAA6D779FDE59DAB4B698781,320480561,17,1,0,1,8824537,31292451
335,E1F5141144C0512A3C27F232729A4453,323358074,1,2,0,1,13064338,31352055
336,2881F54FF89E13F0C83843AF58747954,323392698,2,1,3,1,13068756,31352055
